,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
46,203992,Bogdan,Bogdanovic,Bogdan Bogdanovic,"Bogdanovic, Bogdan",B. Bogdanovic,bogdan-bogdanovic,1992-08-18T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-6,225,4,13,Guard,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,bogdan_bogdanovic,2017,2021,N,Y,Y,2014,1,27,N
47,202711,Bojan,Bogdanovic,Bojan Bogdanovic,"Bogdanovic, Bojan",B. Bogdanovic,bojan-bogdanovic,1989-04-18T00:00:00,Fenerbahce,Croatia,Fenerbahce/Croatia,6-7,226,7,44,Forward,Active,Y,1610612762,Jazz,UTA,jazz,Utah,bojan_bogdanovic,2014,2021,N,Y,Y,2011,2,31,N
48,1629626,Bol,Bol,Bol Bol,"Bol, Bol",B. Bol,bol-bol,1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,7-2,220,2,10,Center-Forward,Active,Y,1610612753,Magic,ORL,magic,Orlando,bol_bol,2019,2021,Y,Y,Y,2019,2,44,N
49,1630195,Leandro,Bolmaro,Leandro Bolmaro,"Bolmaro, Leandro",L. Bolmaro,leandro-bolmaro,2000-09-11T00:00:00,FC Barcelona,Argentina,FC Barcelona/Argentina,6-6,200,0,9,Forward,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,leandro_bolmaro,2021,2021,Y,Y,Y,2020,1,23,N
50,1629067,Isaac,Bonga,Isaac Bonga,"Bonga, Isaac",I. Bonga,isaac-bonga,1999-11-08T00:00:00,Skyliners Frankfurt,Germany,Skyliners Frankfurt/Germany,6-8,180,3,17,Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,isaac_bonga,2018,2021,Y,Y,Y,2018,2,39,N
51,1626164,Devin,Booker,Devin Booker,"Booker, Devin",D. Booker,devin-booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,6-5,206,6,1,Guard,Active,Y,1610612756,Suns,PHX,suns,Phoenix,devin_booker,2015,2021,N,Y,Y,2015,1,13,N
52,1630527,Brandon,Boston Jr.,Brandon Boston Jr.,"Boston Jr., Brandon",B. Boston Jr.,brandon-boston-jr,2001-11-28T00:00:00,Kentucky,USA,Kentucky/USA,6-6,188,0,4,Guard,Active,Y,1610612746,Clippers,LAC,clippers,LA,brandon_boston_jr,2021,2021,Y,Y,Y,2021,2,51,N
53,1628449,Chris,Boucher,Chris Boucher,"Boucher, Chris",C. Boucher,chris-boucher,1993-01-11T00:00:00,Oregon,Saint Lucia,Oregon/Saint Lucia,6-9,200,4,25,Forward-Center,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,chris_boucher,2017,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
54,1630547,James,Bouknight,James Bouknight,"Bouknight, James",J. Bouknight,james-bouknight,2000-09-18T00:00:00,Connecticut,USA,Connecticut/USA,6-4,190,0,5,Guard,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,james_bouknight,2021,2021,Y,Y,Y,2021,1,11,N
55,202340,Avery,Bradley,Avery Bradley,"Bradley, Avery",A. Bradley,avery-bradley,1990-11-26T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-3,180,11,20,Guard,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,avery_bradley,2010,2021,Y,Y,Y,2010,1,19,N
56,1628396,Tony,Bradley,Tony Bradley,"Bradley, Tony",T. Bradley,tony-bradley,1998-01-08T00:00:00,North Carolina,USA,North Carolina/USA,6-10,248,4,13,Center-Forward,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,tony_bradley,2017,2021,Y,Y,Y,2017,1,28,N
57,1629649,Ignas,Brazdeikis,Ignas Brazdeikis,"Brazdeikis, Ignas",I. Brazdeikis,ignas-brazdeikis,1999-01-08T00:00:00,Michigan,Canada,Michigan/Canada,6-6,221,2,17,Forward,Active,Y,1610612753,Magic,ORL,magic,Orlando,ignas_brazdeikis,2019,2021,Y,Y,Y,2019,2,47,N
58,1628969,Mikal,Bridges,Mikal Bridges,"Bridges, Mikal",M. Bridges,mikal-bridges,1996-08-30T00:00:00,Villanova,USA,Villanova/USA,6-6,209,3,25,Forward,Active,Y,1610612756,Suns,PHX,suns,Phoenix,mikal_bridges,2018,2021,N,Y,Y,2018,1,10,N
59,1628970,Miles,Bridges,Miles Bridges,"Bridges, Miles",M. Bridges,miles-bridges,1998-03-21T00:00:00,Michigan State,USA,Michigan State/USA,6-7,225,3,0,Forward,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,miles_bridges,2018,2021,N,Y,Y,2018,1,12,N
60,1629052,Oshae,Brissett,Oshae Brissett,"Brissett, Oshae",O. Brissett,oshae-brissett,1998-06-20T00:00:00,Syracuse,Canada,Syracuse/Canada,6-7,210,2,12,Forward-Guard,Active,Y,1610612754,Pacers,IND,pacers,Indiana,oshae_brissett,2019,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
61,1627763,Malcolm,Brogdon,Malcolm Brogdon,"Brogdon, Malcolm",M. Brogdon,malcolm-brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,6-5,229,5,7,Guard,Active,Y,1610612754,Pacers,IND,pacers,Indiana,malcolm_brogdon,2016,2021,N,Y,Y,2016,2,36,N
62,1629717,Armoni,Brooks,Armoni Brooks,"Brooks, Armoni",A. Brooks,armoni-brooks,1998-06-05T00:00:00,Houston,USA,Houston/USA,6-3,195,1,1,Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,sl_armoni_brooks,2020,2021,Y,Y,Y,2019,,,N
63,1628415,Dillon,Brooks,Dillon Brooks,"Brooks, Dillon",D. Brooks,dillon-brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,6-7,225,4,24,Guard-Forward,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,dillon_brooks,2017,2021,N,Y,Y,2017,2,45,N
64,1628971,Bruce,Brown,Bruce Brown,"Brown, Bruce",B. Brown,bruce-brown,1996-08-15T00:00:00,Miami,USA,Miami/USA,6-4,202,3,1,Guard-Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,bruce_brown,2018,2021,Y,Y,Y,2018,2,42,N
65,1627759,Jaylen,Brown,Jaylen Brown,"Brown, Jaylen",J. Brown,jaylen-brown,1996-10-24T00:00:00,California,USA,California/USA,6-6,223,5,7,Guard-Forward,Active,Y,1610612738,Celtics,BOS,celtics,Boston,jaylen_brown,2016,2021,N,Y,Y,2016,1,3,N
66,1629650,Moses,Brown,Moses Brown,"Brown, Moses",M. Brown,moses-brown,1999-10-13T00:00:00,UCLA,USA,UCLA/USA,7-2,245,2,6,Center,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,moses_brown,2019,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
67,1628425,Sterling,Brown,Sterling Brown,"Brown, Sterling",S. Brown,sterling-brown,1995-02-10T00:00:00,Southern Methodist,USA,Southern Methodist/USA,6-5,219,4,0,Guard-Forward,Active,Y,1610612742,Mavericks,DAL,mavericks,Dallas,sterling_brown,2017,2021,Y,Y,Y,2017,2,46,N
68,1630535,Greg,Brown III,Greg Brown III,"Brown III, Greg",G. Brown III,greg-brown-iii,2001-09-01T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-7,206,0,4,Forward,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,greg_brown_iii,2021,2021,N,Y,Y,2021,2,43,N
69,1629718,Charlie,Brown Jr.,Charlie Brown Jr.,"Brown Jr., Charlie",C. Brown Jr.,charlie-brown-jr,1997-02-02T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,6-6,199,2,16,Guard,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,charles_brown,2019,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
70,1630602,Chaundee,Brown Jr.,Chaundee Brown Jr.,"Brown Jr., Chaundee",C. Brown Jr.,chaundee-brown-jr,1998-12-04T00:00:00,Michigan,USA,Michigan/USA,6-5,215,0,38,Forward,Active,Y,1610612737,Hawks,ATL,hawks,Atlanta,chaundee_brown,2021,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
71,1628972,Troy,Brown Jr.,Troy Brown Jr.,"Brown Jr., Troy",T. Brown Jr.,troy-brown-jr,1999-07-28T00:00:00,Oregon,USA,Oregon/USA,6-6,215,3,7,Guard-Forward,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,troy_brown_jr,2018,2021,Y,Y,Y,2018,1,15,N
72,1628973,Jalen,Brunson,Jalen Brunson,"Brunson, Jalen",J. Brunson,jalen-brunson,1996-08-31T00:00:00,Villanova,USA,Villanova/USA,6-1,190,3,13,Guard,Active,Y,1610612742,Mavericks,DAL,mavericks,Dallas,jalen_brunson,2018,2021,N,Y,Y,2018,2,33,N
73,1628418,Thomas,Bryant,Thomas Bryant,"Bryant, Thomas",T. Bryant,thomas-bryant,1997-07-31T00:00:00,Indiana,USA,Indiana/USA,6-10,248,4,13,Center-Forward,Active,Y,1610612764,Wizards,WAS,wizards,Washington,thomas_bryant,2017,2021,Y,Y,Y,2017,2,42,N
74,203493,Reggie,Bullock,Reggie Bullock,"Bullock, Reggie",R. Bullock,reggie-bullock,1991-03-16T00:00:00,North Carolina,USA,North Carolina/USA,6-6,205,8,25,Guard-Forward,Active,Y,1610612742,Mavericks,DAL,mavericks,Dallas,reggie_bullock,2013,2021,Y,Y,Y,2013,1,25,N
75,203504,Trey,Burke,Trey Burke,"Burke, Trey",T. Burke,trey-burke,1992-11-12T00:00:00,Michigan,USA,Michigan/USA,6-0,185,8,3,Guard,Active,Y,1610612742,Mavericks,DAL,mavericks,Dallas,trey_burke,2013,2021,Y,Y,Y,2013,1,9,N
76,202692,Alec,Burks,Alec Burks,"Burks, Alec",A. Burks,alec-burks,1991-07-20T00:00:00,Colorado,USA,Colorado/USA,6-6,214,10,18,Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,alec_burks,2011,2021,Y,Y,Y,2011,1,12,N
77,1630215,Jared,Butler,Jared Butler,"Butler, Jared",J. Butler,jared-butler,2000-08-25T00:00:00,Baylor,USA,Baylor/USA,6-3,193,0,13,Guard,Active,Y,1610612762,Jazz,UTA,jazz,Utah,jared_butler,2021,2021,Y,Y,Y,2021,2,40,N
78,202710,Jimmy,Butler,Jimmy Butler,"Butler, Jimmy",J. Butler,jimmy-butler,1989-09-14T00:00:00,Marquette,USA,Marquette/USA,6-7,230,10,22,Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,jimmy_butler,2011,2021,N,Y,Y,2011,1,30,N
79,1629719,Devontae,Cacok,Devontae Cacok,"Cacok, Devontae",D. Cacok,devontae-cacok,1996-10-08T00:00:00,North Carolina-Wilmington,USA,North Carolina-Wilmington/USA,6-7,240,2,18,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,davontae_cacok,2019,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
80,203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,"Caldwell-Pope, Kentavious",K. Caldwell-Pope,kentavious-caldwell-pope,1993-02-18T00:00:00,Georgia,USA,Georgia/USA,6-5,204,8,1,Guard,Active,Y,1610612764,Wizards,WAS,wizards,Washington,kentavious_caldwell-pope,2013,2021,N,Y,Y,2013,1,8,N
